1/lambda_cnt,A_P,A_S,A_IH
20,0.998125919,0.998111247,0.997328184
40,0.998195228,0.998180571,0.997466700
60,0.998218333,0.998203679,0.997512875
80,0.998229886,0.998215233,0.997536013
100,0.998236818,0.998222165,0.997549870
150,0.998246061,0.998231408,0.997568310
200,0.998250682, 0.998236030,0.997577540
300,0.998255304,0.998240651,0.997586807
400,0.998257614,0.998242962,0.997591433
500,0.998259001,0.998244349,0.997594466
600,0.998259925,0.998245273,0.997596063
700,0.998260586,0.998245933,0.997597375
800,0.998261081,0.998246428,0.997598360
900,0.998261466,0.998246813,0.997599129
1000,0.998261774,0.998247120,0.997599746