1/lambda_DCK	A_P	A_S	A_IH
100	0.998184137	0.998094626	0.996983905
200	0.998225727	0.998177802	0.997330135
300	0.998239591	0.998205529	0.997445564
400	0.998246523	0.998219393	0.997503293
500	0.998250682	0.998227711	0.997537933
600	0.998253455	0.998233257	0.997561023
700	0.998255436	0.998237218	0.997577519
800	0.998256921	0.998240189	0.997589887
900	0.998258077	0.998242500	0.997599511
1000	0.998259001	0.998244349	0.997607230
1100	0.998259757	0.998245861	0.997613477
1200	0.998260387	0.998247122	0.997618742
1300	0.998260921	0.998248188	0.997623195
1400	0.998261378	0.998249102	0.997626995
1500	0.998261774	0.998249895	0.997630314
1600	0.998262121	0.998250588	0.997633158
1700	0.998262426	0.998251199	0.997635763
1800	0.998262698	0.998251743	0.997637973
1900	0.998262941	0.998252229	0.997640023
2000	0.998263160	0.998252667	0.997641843