1/lambda_dck,A_PS,A_IH
50,9.98100964e-001,9.97145603e-001
60,9.98128687e-001,9.97237929e-001
70,9.98148490e-001,9.97303882e-001
80,9.98163343e-001,9.97353350e-001
90,9.98174895e-001,9.97391831e-001
100,9.98184137e-001,9.97422610e-001
110,9.98191698e-001,9.97447797e-001
120,9.98198000e-001,9.97468787e-001
130,9.98203332e-001,9.97486547e-001
140,9.98207902e-001,9.97501780e-001
150,9.98211863e-001,9.97514973e-001
160,9.98215329e-001,9.97526491e-001
200,9.98225727e-001,9.97561147e-001
250,9.98234045e-001,9.97588857e-001
300,9.98239591e-001,9.97607330e-001
350,9.98243552e-001,9.97620524e-001
400,9.98246523e-001,9.97630422e-001
450,9.98248834e-001,9.97638120e-001
500,9.98250682e-001,9.97644282e-001
550,9.98252195e-001,9.97649285e-001
600,9.98253455e-001,9.97653540e-001
650,9.98254522e-001,9.97657070e-001
700,9.98255436e-001,9.97660102e-001
750,9.98256228e-001,9.97662747e-001
800,9.98256921e-001,9.97665052e-001
850,9.98257533e-001,9.97667101e-001
900,9.98258077e-001,9.97668912e-001
950,9.98258563e-001,9.97670533e-001
1000,9.98259001e-001,9.97671992e-001
1050,9.98259400e-001,9.97673311e-001
1100,9.98259757e-001,9.97674511e-001
1150,9.98260086e-001,9.97675606e-001
1200,9.98260387e-001,9.97676612e-001
1250,9.98260665e-001,9.97677533e-001
1300,9.98260921e-001,9.97678387e-001
1350,9.98261158e-001,9.97679176e-001
1400,9.98261378e-001,9.97679909e-001
1450,9.98261583e-001,9.97680597e-001
1500,9.98261774e-001,9.97681229e-001
1550,9.98261953e-001,9.97681825e-001
1600,9.98262121e-001,9.97682384e-001
1650,9.98262278e-001,9.97682909e-001
1700,9.98262426e-001,9.97683403e-001
1750,9.98262566e-001,9.97683850e-001
1800,9.98262698e-001,9.97684308e-001
1850,9.98262823e-001,9.97684724e-001
1900,9.98262941e-001,9.97685118e-001
1950,9.98263054e-001,9.97685493e-001
2000,9.98263160e-001,9.97685848e-001
2050,9.98263262e-001,9.97686186e-001